PARLAMENTARIO_ID,PARTIDO_POLITICO,NOMBRE_COMPLETO
3607,,Juan Rodriguez Nadruz
3638,,Mario Enrique Rios Santander
2789,,Mario Escobar Urbina
161,,Mario Fuenzalida Mandriaza
1568,,Mario Devaud Ojeda
507,,Marco Antonio Enriquez-Ominami Gumucio
4214,,Mario Desbordes Jimenez
2868,,Juan Segundo Checura Jeria
2092,,Marino Penna Miranda
1190,,Julio Alberto Mercado Illanes
1717,,Mariana Aylwin Oyarzun
331,,Marcos Aurelio Aburto Ochoa
3557,,Marcos Espinosa Monardes
2826,,Juan Valdes Rodriguez
2847,,Juan Tuma Masso
2441,,Margarita Paluz Rivas
416,,Mario Hamuy Berr
544,,Juan De Dios Carmona Peralta
1762,,Juana Dip Muhana
1831,,Marco Antonio Nunez Lozano
86,,Mario Bertolino Rendic
1222,,Mariano Bernales Urmeneta
3498,,Juan Segundo Pulgar Montoya
2806,,Mariano Guerrero 
1068,,Marina Prochelle Aguilar
1344,,Mario Alberto Acuna Cisternas
1450,,Julieta Campusano Chavez
362,,Mario Arnello Romo
3177,,Mario Arturo Mosquera Roa
2605,,Juan Pablo Letelier Morel
3477,,Luis Alfonso Ramirez De La Fuente
2747,,Mario Jaime Reyes Aroca
1684,,Juan Floreal Recabarren Rojas
3021,,Juan Lobos Krause
2696,,Juan Jose Bustos Ramirez
2416,,Maria Adela Maluenda Campos
2849,,Maria Angelica Cristi Marfil
3145,,Maria Antonieta Saa Diaz
3808,,Juan Hamilton Depassier
745,,Maria Elena Carrera Villavicencio
3362,,Maria Eugenia Mella Gajardo
16,,Juan Florencio Galleguillos Vera
1525,,Maria Ines Aguilera Castro
1382,,Martin Manterola Cantuarias
3002,,Maria Jose Hoffmann Opazo
561,,Juan Fernando Vargas Peralta
2549,,Juan Ernesto Penafiel Illanes
368,,Maria Pia Guzman Mena
3370,,Maria Rozas Velasquez
2681,,Maria Silvia Micaela Correa Marin
2274,,Maria Soledad Alvear Valenzuela
2129,,Juan Enrique Taladriz Garcia
4507,,Juan Enrique Morano Cornejo
1428,,Martin Manterola Urzua
2028,,Martin Andonaegui 
1434,,Mario Julio Torres Peralta
3367,,Mario Urrutia Gazmuri
766,,Mario Livio Hurtado Chacon
431,,Mario Marchant Binder
2255,,Mario Modesto Arancibia Cardenas
2516,,Juan Nunez Valenzuela
413,,Mario Palestro Rojas
3651,,Mario Papi Beyer
3040,,Mario Roberto Riquelme Munoz
1510,,Mario Rios Padilla
1370,,Mario Sharpe Carte
1562,,Mario Varela Herrera
2249,,Martita Elvira Worner Tapia
3192,,Mario Venegas Cardenas 
455,,Juan Montedonico Napoli
1079,,Juan Masferrer Pellizzari
1050,,Marisol Turres Figueroa
3521,,Juan Martinez Sepulveda
1014,,Julio Antonio Gaston Duran Neumann
1563,,Juan Luis Ossa Bulnes
3107,,Marta Eliana Isasi Barbieri
1850,,Juan Luis Mauras Novella
4820,,Juan Manuel Masferrer Vidal
1083,,Julio Canessa Robert
2310,,Marco Antonio Cariola Barroilhet
4522,,Luis Rocafull Lopez
1575,,Luis Osvaldo Escobar Astaburuaga
1665,,Leopoldo Segundo Ortega Rodriguez
3893,,Luis Osvaldo Maira Aguirre
686,,Leopoldo Perez Lahsen
2057,,Leopoldo Figari Forno
3060,,Luis Papic Ramos
4625,,Luis Pardo Sainz
1557,,Luis Pareto Gonzalez
1678,,Luis Ricardo Hormazabal Sanchez
421,,Leonardo Hagel Arredondo
2638,,Maria Victoria Ovalle Ovalle
2403,,Lautaro Vergara Osorio
4574,,Karin Luck Urban
1588,,Lautaro Carmona Soto
573,,Luis Uberlindo Espinoza Villalobos
1998,,Laureano Diaz 
600,,Luis Valdes Larrain
1403,,Laura Soto Gonzalez
2054,,Luis Valente Rossi
954,,Luis Valentin Ferrada Valenzuela
1208,,Laura Fiora Rodriguez Riccomini
991,,Luis Videla Salinas
501,,Laura Allende Gossens
1189,,Luzberto Enrique Pantoja Rubilar
2071,,Leopoldo Sanchez Grunert
414,,Luis Navarrete Carvacho
732,,Luis Monge Sanchez
2682,,Liborio Sanchez Cardenas
2703,,Luis Armando Minchel Balladares
2939,,Luis Bossay Leiva
1166,,Luis Alberto Quinteros Tricot
2938,,Luis Corvalan Lepe
937,,Luis Eduardo Undurraga Correa
3241,,Luis Engelberto Raimundo Frias Moran
2875,,Luis Enrique Tejeda Oliva
3219,,Luis Alberto Guastavino Cordova
1583,,Luis Ernesto Aguilera Baez
3152,,Luis Felipe Letelier Icaza
677,,Luis Fernando Luengo Escalona
1891,,Luis Alberto Gonzalez Olivares
622,,Luciano Vasquez Muruaga
1387,,Luis Ferrada Perez
2859,,Luis Gaston Lobos Barrientos
1776,,Luis Godoy Gomez
904,,Luis Gonzalez Canales
2634,,Luis Humberto Figueroa Mazuela
1485,,Luis Le Blanc Valenzuela
2716,,Luis Lemus Aracena
2536,,Luis M. Cardoso 
1917,,Lisandro Fuentealba Troncoso
2581,,Lily Perez San Martin
3270,,Karla Rubilar Barahona
2657,,Justo Munoz 
852,,Marcial Flores 
4534,,Marcela Hernando Perez
184,,Manuel Rioseco Vasquez
3589,,Manuel Roberto Montalba Vega
3330,,Manuel Rodriguez Huenuman
3122,,Manuel Rodriguez Rodriguez
2640,,Manuel Rojas Molina
1721,,Manuel Segundo Cantero Prado
630,,Manuel Valdes 
2531,,Manuel Valdes Solar
3603,,Manuel Vera Carcamo
83,,Marcela Cubillos Sigall
3097,,Julio Dittborn Cordua
3514,,Luis Antonio Fuentealba Medina
903,,Justo Garcia 
1030,,Julio Campos Avila
2073,,Marcela Sabat Fernandez
4644,,Marcela Sandoval Osorio
3591,,Marcelino Ruiz 
4516,,Marcelo Chavez Velasquez
1833,,Julio Bernardo Subercaseaux Barros
730,,Marcelo Diaz Diaz
3848,,Marcelo Forni Lobos
3014,,Marcelo Schilling Rodriguez
2845,,Marcelo Somarriva Undurraga
1093,,Julio Anibal Sepulveda Rondanelli
3457,,Manuel Rafael Senoret Lapsley
1827,,Manuel Monsalve Benavides
2871,,Julio Ernesto Von Muhlenbrock Lira
3351,,Julio Felipe Montt Momberg
456,,Julian Jarpa Caamano
1966,,Julian Abel Echavarri Elorza
2262,,Manuel Antonio Bustos Huerta
812,,Manuel Cerda Concha
1540,,Manuel De Ortuzar Ibanez
1417,,Julio Valenzuela 
1853,,Manuel Diez Garcia
3134,,Manuel Enrique Ferreira Guzman
2300,,Manuel Espinosa Jara
1865,,Julio Silva Solar
110,,Manuel Galilea Widmer
2019,,Manuel Garcia Banqueda
24,,Julio Rojos Astorga
3843,,Manuel Gonzalez 
3455,,Manuel Gonzalez Vilches
887,,Julio Rojas Rojas
1468,,Manuel Hurtado 
578,,Manuel Jesus Gallardo Paz
2199,,Manuel Jesus Gamboa Valenzuela
1294,,Manuel Jose Irarrazaval Larrain
2537,,Manuel Josias Eduardo Magalhaes Medling
537,,Julio Lagos Cosgrove
3292,,Manuel Matta Aragay
546,,Abel Segundo Jarpa Vallejos
2103,,Oscar Gaston Naranjo Arias
3263,,Matias Fernandez 
617,,Santiago Pereira Becerra
1996,,Ruben Gajardo Chacon
3103,,Ruben Hurtado O'Ryan
4643,,Ruben Moraga Mamani
1424,,Ruben Soto Gutierrez
3027,,Ruben Zapata Bravo
665,,Rufo Ruiz Esquide Espinoza
488,,Salomon Corbalan Gonzalez
2435,,Salvador Allende Gossens
2357,,Salvador Correa Larrain
2278,,Salvador Urrutia Cardenas
2221,,Samuel Ernesto Astorga Jorquera
1718,,Samuel Fuentes Andrades
2960,,Samuel Venegas Rubio
4616,,Sandra Amar Mancilla
1061,,Santiago Sinclair Oyaneder
1470,,Rene Manuel Garcia Garcia
2072,,Santiago Ureta Mackenna
381,,Santos Leoncio Medel Basualto
404,,Sebastian Pinera Echenique
4631,,Sebastian Torrealba Alvarado
4587,,Sebastian Alvarez Ramirez
2500,,Selim Carrasco Toledo
3883,,Sergio Aguilo Melo
1822,,Sergio Anfossi Munoz
832,,Sergio Ariel Merino Jarpa
2125,,Sergio Benedicto Elgueta Barrientos
3141,,Sergio Bitar Chacra
2782,,Sergio Correa De La Cerda
2194,,Sergio Eduardo De Praga Diez Urzua
4332,,Sergio Espejo Yaksic
3780,,Rosendo Huenuman Garcia
3487,,Rosauro Martinez Labbe
3685,,Rosa Gonzalez Roman
1911,,Ronald Mc Intyre Mendoza
2321,,Rene Tapia Salgado
4586,,Ricardo Celis Araya
3252,,Ricardo Cornejo 
3900,,Ricardo Fernando Tudela Barraza
1933,,Ricardo Ferrando Keun
1287,,Ricardo Martin Diaz
124,,Ricardo Navarrete Betanzo
2645,,Ricardo Nunez Munoz
209,,Ricardo Otto Weber Kunstmann
3562,,Ricardo Rincon Gonzalez
528,,Ricardo Undurraga Laso
1139,,Ricardo Valenzuela Saez
1088,,Roberto Delmastro Naso
1860,,Roberto Leon Ramirez
972,,Roberto Munoz Barra
4517,,Roberto Poblete Zapata
1753,,Roberto Sepulveda Hermosilla
1902,,Rodolfo Antonio Ramirez Valenzuela
2324,,Rodolfo Leon Lavin
2525,,Rodolfo Seguel Molina
3322,,Rodolfo Stange Oelckers
258,,Rodolfo Werner Inostroza
1893,,Rodrigo Gonzalez Torres
1011,,Rodrigo Alvarez Zenteno
3431,,Rolando Calderon Aranguiz
4630,,Rolando Renteria Moller
3576,,Rolando Rivas Fernandez
2616,,Romilio Gutierrez Pino
3598,,Romy Rebolledo Leyton
1196,,Sergio Fernandez Aguayo
10,,Sergio Fernandez Fernandez
2133,,Sergio Hernan Sepulveda Garces
494,,Vicente Enrique Huerta Celis
2101,,Vilma Eliana Rojas Alfaro
4580,,Virginia Troncoso Hellman
1226,,Vladimir Anselmo Sule Candia
3388,,Vladislav Kuzmicic Calderon
1617,,Volodia Teitelboim Volosky
625,,Victor Barberis Yori
3775,,Victor Barrueto 
2769,,Victor Benito Contreras Tapia
466,,Victor Emerson Gonzalez Maertens
2646,,Victor Galleguillos Clett
513,,Victor Hernan Carmine Zuniga
1938,,Victor Jaramillo 
3112,,Victor Joaquin Garcia Garzena
2044,,Victor Manuel Flores Castelli
3127,,Victor Manuel Rebolledo Gonzalez
963,,Victor Perez Varela
3203,,Victor Reyes Alvarado
1999,,Victor Sbarbaro Campos
1950,,Victor Torres Jeldes
1677,,Waldo Mora Longa
1625,,William Turpin Thayer Arteaga
447,,Wilna Yolanda Saavedra Cortes
2803,,Wladimir Lenin Chavez Rodriguez
3196,,Ximena Valcarce Becerra
1580,,Ximena Vidal Lazaro
3609,,Zarko Luksic Sandoval
4584,,Alvaro Elizalde Soto
516,,Alvaro Escobar Rufatt
533,,Angel Faivovich Hitzcovich
874,,Vicente Karelovic Vrandecic
3133,,Vicente Atencio Cortes
2561,,Sergio Jara Catalan
12,,Vicente Agustin Sota Barros
1964,,Sergio Mariano Ruiz Esquide Jara
482,,Sergio Morales Morales
1876,,Sergio Ojeda Doren
1175,,Sergio Ojeda Uribe
3870,,Sergio Onofre Jarpa Reyes
3518,,Sergio Pizarro Mackay
2048,,Sergio Paez Verdugo
443,,Sergio Romero Pizarro
2832,,Sergio Saavedra Viollier
3865,,Sergio Velasco De La Cerda
276,,Silvia Alessandri Montes
1686,,Silvia Costa Espinoza
1131,,Silvia Emiliana Pinto Torres
624,,Silvia Victoria Araya Gonzalez
206,,Silvio Rodriguez Villalobos
1838,,Telesforo Mario Barahona Ceballos
2102,,Teodoro Ribera Neumann
2733,,Tolentino Perez Soto
1224,,Tomas Chadwick Valdes
519,,Tomas Edison Irribarra De La Torre
2505,,Tomas Enrique Solis Nova
4641,,Tomas Fuentes Barros
522,,Tomas Jocelyn Holt Letelier
3539,,Tomas Pablo Elorza
3635,,Tucapel Jimenez Fuentes
3728,,Tulio Renan Fuentealba Moena
7,,Ulises Correa Correa
3779,,Valentin Solis Cabezas
1631,,Venancio Conuepan Huenchual
122,,Rene Saffirio Espinoza
227,,Rene Benedicto Leon Echaiz
835,,Maximiano Errazuriz Eguiguren
2879,,Osvaldo Temer Oyarzun
2589,,Orlando Severo Vargas Pizarro
697,,Oscar Alfredo Naranjo Jara
3380,,Oscar Gajardo Villarroel
1121,,Juan Efrain Ojeda Ojeda
3365,,Oscar Guillermo Garreton Purcell
1188,,Oscar Juan Edgardo Schleyer Springmuller
2971,,Oscar Marin Socias
970,,Oscar Moya Munoz
3184,,Oscar Rodulfo Gonzalez Robles
3643,,Osvaldo Andrade Lara
464,,Osvaldo Basso Carvajal
3581,,Osvaldo Giannini Iniguez
599,,Osvaldo Opelio Olguin Zapata
3371,,Osvaldo Palma Flores
4511,,Osvaldo Urrutia Soto
933,,Rene Aurelio Jerez Contreras
3817,,Osvaldo Vega Vera
2298,,Pabla Toledo Obando
3079,,Pablo Fernando Rosselot Jaramillo
3178,,Pablo Galilea Carrillo
4627,,Pablo Kast Sommerhoff
1900,,Pablo Longueira Montes
1001,,Pablo Lorenzini Basso
864,,Pablo Prieto Lorca
1290,,Pablo Silva 
4573,,Pablo Vidal Rojas
2751,,Pacifico Encina Romero
4646,,Patricia Rubio Escobar
2840,,Patricio Alejandro Hales Dib
3123,,Patricio Aylwin Azocar
2867,,Orlando Octavio Poblete Gonzalez
1313,,Orlando Del Fierro Demartini
611,,Orel Viciani Escker
3279,,Olga Feliu Segovia
3342,,Maximiano Errazuriz Valdes
4508,,Maya Fernandez Allende
566,,Miguel Adolfo Zaldivar Larrain
4582,,Miguel Crispi Serrano
740,,Miguel Eduardo Jarpa Vallejos
2091,,Miguel Hernandez Saffirio
2050,,Miguel Luis Amunategui Johnson
2208,,Miguel Luis Lagos Lagos
4544,,Miguel Angel Alvarado Ramirez
2812,,Milenko Vilicic Karnincic
349,,Miodrag Arturo Marinovic Solo De Zaldivar
1553,,Mireya Baltra Moreno
1173,,Maximo Pacheco Gomez
1937,,Maximo Venegas Sepulveda
246,,Monica Beatriz Zalaquett Said
18,,Narciso Irureta Aburto
4626,,Natalia Castillo Munoz
662,,Nelson Jaime Avila Contreras
3386,,Nicanor Allende Urrutia
344,,Nicanor Araya De La Cruz
3838,,Nicolas Diaz Sanchez
428,,Nicolas Monckeberg Diaz
1899,,Nicolas Naranjo Palacios
4612,,Nicolas Noman Garrido
2053,,Nicolas Rojas 
899,,Nino Baltolu Rasera
4640,,Nora Cuevas Contreras
1284,,Nestor Jofre Nunez
2292,,Octavio Jara Wolff
3395,,Patricio Bryan Mekis Spikin
526,,Patricio Calderon 
3404,,Patricio Cornejo Vidaurrazaga
3799,,Rafael De La Rosa 
78,,Rafael Roberto Tarud Siwady
934,,Ramon Augusto Silva Ulloa
923,,Ramon Barros Luco
3625,,Ramon Barros Montero
2490,,Ramon Elizalde Hevia
2163,,Ramon Errazuriz Errazurriz
2993,,Ramon Farias Ponce
4575,,Ramon Galleguillos Castillo
3587,,Ramon Rozas Rozas
3745,,Ramon Segundo Perez Opazo
